ano,id_municipio,id_municipio_nome,sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_urbana_residente_esgoto,extensao_rede_esgoto,volume_agua_tratada_eta,volume_agua_tratada_importado,quantidade_empregado,despesa_agua_importada,despesa_fiscal_nao_computada,despesa_divida_variacao,investimento_agua_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,natureza_juridica
2000,1400407,Normandia,RR,Roraima,2621,,,0.0,,1,,,,0.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1200336,MÃ¢ncio Lima,AC,Acre,126,,,0.0,,2,,,,0.0,,,Autarquia | Administração pública direta | Administração pública direta
2000,1200807,Porto Acre,AC,Acre,3055,,,0.0,,7,,,,372577.95,,,Autarquia | Administração pública direta
2001,1301001,Carauari,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública
1999,1400506,SÃ£o JoÃ£o da Baliza,RR,Roraima,3140,,,49.0,,7,,,,0.0,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1300029,AlvarÃ£es,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1998,1300508,Barreirinha,AM,Amazonas,,,,,,,,,,,,,Administração pública direta | Administração pública direta
1997,1301100,Careiro,AM,Amazonas,4695,,,73.0,,5,,,,3642.0,,,Administração pública direta | Administração pública direta
1997,1302009,Itapiranga,AM,Amazonas,4005,,,36.5,,6,,,,48580.0,,,Administração pública direta | Administração pública direta
1998,1302553,Manaquiri,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1303007,NhamundÃ¡,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1303106,Nova Olinda do Norte,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2002,1400605,SÃ£o Luiz,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1200013,AcrelÃ¢ndia,AC,Acre,1775,,,0.0,,5,,,,70433.74,,,Autarquia | Administração pública direta
1999,1200344,Manoel Urbano,AC,Acre,1267,,,0.0,,3,,,,0.0,,,Autarquia | Administração pública direta
1998,1200450,Senador Guiomard,AC,Acre,1935,6312,,,,9,,,,,,,Autarquia | Administração pública direta
2000,1301159,Careiro da VÃ¡rzea,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1999,1301852,Iranduba,AM,Amazonas,7820,,,166.0,,6,,,,,,,Autarquia | Administração pública direta
2000,1302553,Manaquiri,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
1996,1400050,Alto Alegre,RR,Roraima,4000,,,392.37,,7,,,,30521.81,,,Sociedade de economia mista com administração pública | Administração pública direta
1995,1400100,Boa Vista,RR,Roraima,,158235,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1400472,RorainÃ³polis,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2003,1200393,Porto Walter,AC,Acre,,,,,,,,,,,,,Autarquia | Administração pública direta
1999,1301308,CodajÃ¡s,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1400456,Pacaraima,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2001,1400605,SÃ£o Luiz,RR,Roraima,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1200138,Bujari,AC,Acre,1780,,,0.0,,15,,,,0.0,,,Autarquia | Administração pública direta
1999,1301001,Carauari,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública
1999,1301407,EirunepÃ©,AM,Amazonas,,,,,,,,,,,,,Sociedade de economia mista com administração pública | Administração pública direta
2000,1301852,Iranduba,AM,Amazonas,8030,,,174.0,,8,,,,,,,Autarquia | Administração pública direta
1999,1303601,Santa Isabel do Rio Negro,AM,Amazonas,,,,,,,,,,,,,Administração pública direta
2011,1302405,LÃ¡brea,AM,Amazonas,24638,24638,43.0,1752.0,0.0,5,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2012,1303106,Nova Olinda do Norte,AM,Amazonas,11527,14093,5.0,0.0,0.0,6,0.0,0.0,0.0,,,,Sociedade de economia mista com administração pública | Administração pública direta
2013,1301654,GuajarÃ¡,AM,Amazonas,6100,8127,2.0,0.0,0.0,8,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2015,1303106,Nova Olinda do Norte,AM,Amazonas,20800,15606,85.0,0.0,0.0,9,0.0,0.0,0.0,,,,Sociedade de economia mista com administração pública | Administração pública direta
2019,1301654,GuajarÃ¡,AM,Amazonas,12695,8864,3.3,0.0,0.0,12,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2022,1301654,GuajarÃ¡,AM,Amazonas,12708,,3.3,0.0,0.0,13,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2015,1301654,GuajarÃ¡,AM,Amazonas,12000,8411,2.5,0.0,0.0,8,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2014,1301654,GuajarÃ¡,AM,Amazonas,8000,8270,2.5,0.0,0.0,7,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2016,1303106,Nova Olinda do Norte,AM,Amazonas,20800,15892,85.0,0.0,0.0,9,0.0,0.0,0.0,,,,Sociedade de economia mista com administração pública | Administração pública direta
2012,1301654,GuajarÃ¡,AM,Amazonas,6022,7651,1.9,0.0,0.0,8,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2011,1200104,BrasilÃ©ia,AC,Acre,12234,14549,12.5,2382.25,0.0,19,0.0,0.0,0.0,272750.52,255413.0,17337.52,Autarquia | Administração pública direta
2022,1300102,Anori,AM,Amazonas,10231,,27.6,0.0,0.0,11,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2021,1301803,Ipixuna,AM,Amazonas,27860,13306,5.0,0.0,0.0,18,0.0,0.01,0.0,,,,Administração pública direta | Administração pública direta
2012,1300631,Beruri,AM,Amazonas,8116,8116,2.0,450.0,0.0,7,0.0,15000.0,0.0,,,,Administração pública direta | Administração pública direta
2018,1301654,GuajarÃ¡,AM,Amazonas,12693,8725,3.2,0.0,0.0,12,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2010,1300086,AnamÃ£,AM,Amazonas,4500,4174,15.0,0.0,0.0,7,0.0,,0.0,50000.0,0.0,38000.0,Administração pública direta
2012,1300086,AnamÃ£,AM,Amazonas,4550,4400,19.0,0.0,0.0,7,0.0,1000.0,0.0,,,,Administração pública direta
2022,1301803,Ipixuna,AM,Amazonas,6401,,5.0,0.0,0.0,19,0.0,2.0,0.0,,,,Administração pública direta | Administração pública direta
2010,1303106,Nova Olinda do Norte,AM,Amazonas,11527,13626,,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2021,1301654,GuajarÃ¡,AM,Amazonas,12700,9138,3.3,0.0,0.0,12,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2020,1301803,Ipixuna,AM,Amazonas,26811,12991,0.8,0.0,0.0,18,0.0,0.0,0.0,,,,Administração pública direta | Administração pública direta
2012,1300029,AlvarÃ£es,AM,Amazonas,2731,8051,3.0,0.0,0.0,10,0.0,0.0,0.0,21311.33,0.0,17742.25,Sociedade de economia mista com administração pública | Administração pública direta
2010,1200385,PlÃ¡cido de Castro,AC,Acre,5956,10382,1.75,313.32,0.0,16,0.0,0.0,0.0,271853.43,530795.8,280664.72,Autarquia | Administração pública direta
2020,1300029,AlvarÃ£es,AM,Amazonas,2718,9081,0.5,0.0,0.0,13,0.0,1000.0,0.0,16109.29,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2011,1303106,Nova Olinda do Norte,AM,Amazonas,11527,13864,5.0,0.0,0.0,8,0.0,0.0,0.0,,,,Sociedade de economia mista com administração pública | Administração pública direta
